"course_code","course_name","description","credits","prerequisites","department","instructors"
"CAI6108","Machine Learning Engineering","Covers foundational machine learning concepts with an emphasis on applying these concepts on real-world data through programming exercises and assignments using the relevant industry-standard Python tools, libraries, and frameworks.","3","Prereq: Knowledge of programming fundamentals. Experience with Python is a plus but not required.","Computer & Information Science & Engineering","Vincent Bindschaedler"
"CAP3020","Theory and Practice of Multimedia Production","Combines the traditional media production pipeline and software engineering processes to synthesize an approach geared for the production of works incorporating both artistic and computational elements.","3","Prereq: CAP 3027.","Computer & Information Science & Engineering","JJ Marin"
"CAP3032","Interactive Modeling and Animation 1","Introduces programming and data structures for interactive two-dimensional multimedia applications. Representing form and transforms in two dimensions, capturing user actions and driving application behavior interactively. Graphical interfaces, image processing, automata and basic artificial intelligence.","3","Prereq: MAC 1147 or equivalent.","Computer & Information Science & Engineering","Rong Zhang"
"CAP3034","Introduction to Computer-Aided Animation","Introduces topics related to computer-aided animation. Rigging for forward and inverse kinematics. Skin weighting. Morph targets. Expression-driven animation, rigid-body and particle simulation.","3","Prereq: MAC 1147 or equivalent.","Computer & Information Science & Engineering","Rachel West"
"CAP4641","Natural Language Processing","Introduction to the essential concepts, principles, and techniques of Natural Language Processing (NLP). Practical application and theoretical concepts are examined. Topics include information extraction, language construction, grammars, disambiguation, as well as system modeling, classification, and evaluation.","3","Prereq: COP 3530.","Computer & Information Science & Engineering","Shlok Gilda"
"CAP4730","Computational Structures in Computer Graphics","Studies the major topics in computer graphics: display and output technology, two and three dimensional manipulations; space curves and surfaces, hidden surface removal and shading models.","3","Prereq: COP 3530.","Computer & Information Science & Engineering","Alireza Entezari"
"CAP5100","Human-Computer Interaction","Topics related to interaction with technology, including interface design, software tools, 3-D interaction, virtual environments, interaction devices, collaboration, and visualization.","3","Prereq: COP 3530, and any one programming course (COP 2800, COP 3275, or COP 3229).","Computer & Information Science & Engineering","Eric Ragan"
"CAP5771","Introduction to Data Science","Introducing the basics of data science including programming for data analytics, file management, relational databases, classification, clustering and regression. The foundation is laid for big data applications ranging from social networks to medical and business informatics.","3","Prereq: COP 3530 Data Structures and Algorithms or equivalent.","Engineering General","Laura Cruz Castro, Jean Louis"
"CAP6610","Machine Learning","Concepts in developing computer programs that learn and improve with experience. Emphasis on methods based on probability, statistics, and optimization.","3","Prereq: Mathematics for Intelligent Systems.","Computer & Information Science & Engineering","Arunava Banerjee"
"CDA3101","Introduction to Computer Organization","Organization of computing systems. Logical basis of computer structure. Machine representation of instructions and data, flow of control, and basic machine instructions. Assembly language programming.","3","Prereq: (COP 3504 or COP 3503) and (MAC 2233 or MAC 2311 or MAC 3472) and COT 3100.","Computer & Information Science & Engineering","Cheryl Resch, Marvin Andujar"
